"","cor w cell mixing","residual SD from cell mixing"
"KRT14",0.924190347035147,0.234549816811915
"IL2RB",0.98086420137276,0.275049231349447
"ITGA4",0.95550108929076,0.24002052338773
"MTF2",0.858082361731834,0.249419467084268
"ESR1",0.845817069763657,0.266068170018122
"TAL1",0.864977087889041,0.312426074191752
"CD38",0.957345596133699,0.260873028983771
"HLA-E",0.995068159410608,0.21500853864578
"NOG",0.719483835130195,0.376538761384749
"MFGE8",0.829983890995439,0.249237053336831
"PARP4",0.927261722059823,0.21035985092453
"MBNL3",0.885035628144874,0.273905911131719
"TNFRSF10B",0.770137007067894,0.268704058206346
"TYMS",0.723284215032386,0.561726769026078
"SPINK1",0.816543247429759,0.324382878536107
"CXCR2",0.796126756424622,0.311736814548903
"MPPED1",0.851206825238208,0.318989440999268
"FGF19",0.810273288859466,0.313576893534457
"CCL25",0.782174785823523,0.311526835702669
"TPSB2",0.974064445609755,0.278522167933565
